Nro_Control;Monto_Total;Forma_Pago_1;Fecha_Pago_1;Referencia_1;Banco_1;Forma_Pago_2;Fecha_Pago_2;Referencia_2;Banco_2
692;5085.42;TJD;27/06/2025;313684;BANCARIBE;;;;
693;10170.84;TJD;27/06/2025;037882;BANCARIBE;;;;
695;2627.37;TJD;27/06/2025;423484;BANCARIBE;;;;
696;2919.3;TJD;27/06/2025;014099;BANCARIBE;;;;
697;2530.06;TJD;27/06/2025;134379;BANCARIBE;;;;
698;2530.06;TJD;27/06/2025;134379;BANCARIBE;;;;
699;2627.37;TJD;27/06/2025;181477;BANCARIBE;;;;
700;2530.06;TJD;27/06/2025;181477;BANCARIBE;;;;
701;2530.06;TJD;27/06/2025;181477;BANCARIBE;;;;
702;2530.06;TJD;27/06/2025;215677;BANCARIBE;;;;
703;2919.3;TJD;27/06/2025;843855;BANCARIBE;;;;
704;5254.74;TJD;27/06/2025;055759;BANCARIBE;;;;
705;5060.12;TJD;27/06/2025;079668;BANCARIBE;;;;
706;2542.71;TJD;27/06/2025;414276;BANCARIBE;;;;
707;2627.37;TJD;27/06/2025;434180;BANCARIBE;;;;
708;2627.37;TJD;27/06/2025;434180;BANCARIBE;;;;
709;2627.37;TJD;27/06/2025;434180;BANCARIBE;;;;
710;2542.71;TJD;27/06/2025;473874;BANCARIBE;;;;
711;7628.13;TJD;27/06/2025;674934;BANCARIBE;TJD;27/06/2025;505394.0;BANCARIBE
712;2542.71;TJD;27/06/2025;564376;BANCARIBE;;;;
713;2542.71;TJD;27/06/2025;564376;BANCARIBE;;;;
714;2542.71;TJD;27/06/2025;266353;BANCARIBE;;;;
715;2250.78;TJD;27/06/2025;915985;BANCARIBE;;;;
716;2364.12;TJD;27/06/2025;942785;BANCARIBE;;;;
717;25427.1;TJD;27/06/2025;142990;BANCARIBE;;;;
718;2238.13;TJD;27/06/2025;181490;BANCARIBE;;;;
719;2238.13;TJD;27/06/2025;181490;BANCARIBE;;;;
720;5060.12;TJD;27/06/2025;214068;BANCARIBE;;;;
721;2542.71;TJD;27/06/2025;019673;BANCARIBE;;;;
722;11677.2;TJD;27/06/2025;367123;BANCARIBE;;;;
723;2542.71;TJD;27/06/2025;381565;BANCARIBE;;;;
724;2542.71;TJD;27/06/2025;381565;BANCARIBE;;;;
725;2542.71;TJD;27/06/2025;381565;BANCARIBE;;;;
726;2542.71;TJD;27/06/2025;179688;BANCARIBE;;;;
727;2627.37;TJD;27/06/2025;950474;BANCARIBE;;;;
728;2542.71;TJD;27/06/2025;963674;BANCARIBE;;;;
729;2627.37;TJD;27/06/2025;160680;BANCARIBE;;;;
730;2627.37;TJD;27/06/2025;180582;BANCARIBE;;;;
731;5254.74;TJD;27/06/2025;310998;BANCARIBE;;;;
732;5252.32;TJD;27/06/2025;054624;BANCARIBE;;;;
733;2627.37;TJD;27/06/2025;737170;BANCARIBE;;;;
734;2627.37;TJD;27/06/2025;737170;BANCARIBE;;;;
735;1362.34;TJD;27/06/2025;425492;BANCARIBE;;;;
736;5085.42;TJD;27/06/2025;427001;BANCARIBE;;;;
737;2542.71;TJD;27/06/2025;520574;BANCARIBE;;;;
738;2530.06;TJD;27/06/2025;650593;BANCARIBE;;;;
739;10170.84;TJD;27/06/2025;565293;BANCARIBE;;;;
740;2627.37;TJD;27/06/2025;135975;BANCARIBE;;;;
741;2627.37;TJD;27/06/2025;135975;BANCARIBE;;;;
742;1045.42;TJD;27/06/2025;180290;BANCARIBE;;;;
743;2627.37;TJD;27/06/2025;194675;BANCARIBE;;;;
744;2179.82;TJD;27/06/2025;008306;BANCARIBE;;;;
